

generation: 6	dx: 

1 - txs=13, exgt=105, dxs=36
2 - txs=13, exgt=279, dxs=37
3 - txs=13, exgt=231, dxs=39
4 - txs=13, exgt=242, dxs=35
5 - txs=12, exgt=243, dxs=35
6 - txs=12, exgt=231, dxs=38
7 - txs=12, exgt=240, dxs=38
8 - txs=12, exgt=259, dxs=47
9 - txs=12, exgt=251, dxs=32
10 - txs=12, exgt=295, dxs=30
11 - txs=11, exgt=274, dxs=38
12 - txs=11, exgt=256, dxs=38
13 - txs=11, exgt=262, dxs=24
14 - txs=10, exgt=219, dxs=43
15 - txs=10, exgt=241, dxs=43
16 - txs=10, exgt=248, dxs=34
17 - txs=10, exgt=245, dxs=33
18 - txs=10, exgt=159, dxs=33
19 - txs=10, exgt=256, dxs=28
20 - txs=10, exgt=242, dxs=31
21 - txs=10, exgt=227, dxs=30
22 - txs=10, exgt=241, dxs=24
23 - txs=10, exgt=249, dxs=23
24 - txs=10, exgt=237, dxs=23
25 - txs=9, exgt=228, dxs=21
