

generation: 0	dx: 

1 - txs=14, exgt=267, dxs=32
2 - txs=14, exgt=316, dxs=32
3 - txs=14, exgt=304, dxs=30
4 - txs=14, exgt=245, dxs=31
5 - txs=13, exgt=224, dxs=29
6 - txs=13, exgt=154, dxs=31
7 - txs=13, exgt=276, dxs=31
8 - txs=13, exgt=124, dxs=31
9 - txs=13, exgt=144, dxs=32
10 - txs=13, exgt=302, dxs=31
11 - txs=13, exgt=314, dxs=31
12 - txs=12, exgt=231, dxs=29
13 - txs=12, exgt=150, dxs=29
14 - txs=12, exgt=211, dxs=33
15 - txs=12, exgt=217, dxs=30
16 - txs=12, exgt=245, dxs=30
17 - txs=12, exgt=251, dxs=30
18 - txs=12, exgt=250, dxs=35
19 - txs=9, exgt=232, dxs=38
20 - txs=9, exgt=237, dxs=38
21 - txs=8, exgt=169, dxs=43
22 - txs=8, exgt=243, dxs=41
23 - txs=7, exgt=259, dxs=29
24 - txs=7, exgt=245, dxs=20
25 - txs=7, exgt=238, dxs=18
