

generation: 5	dx: 

1 - txs=13, exgt=276, dxs=35
2 - txs=13, exgt=192, dxs=43
3 - txs=13, exgt=192, dxs=43
4 - txs=13, exgt=192, dxs=43
5 - txs=13, exgt=191, dxs=31
6 - txs=12, exgt=215, dxs=30
7 - txs=12, exgt=200, dxs=31
8 - txs=12, exgt=143, dxs=42
9 - txs=12, exgt=228, dxs=30
10 - txs=12, exgt=237, dxs=32
11 - txs=12, exgt=215, dxs=32
12 - txs=12, exgt=249, dxs=31
13 - txs=12, exgt=278, dxs=33
14 - txs=12, exgt=265, dxs=41
15 - txs=12, exgt=276, dxs=32
16 - txs=12, exgt=237, dxs=29
17 - txs=12, exgt=223, dxs=31
18 - txs=12, exgt=249, dxs=34
19 - txs=12, exgt=240, dxs=32
20 - txs=12, exgt=268, dxs=39
21 - txs=12, exgt=213, dxs=40
22 - txs=12, exgt=245, dxs=41
23 - txs=12, exgt=234, dxs=29
24 - txs=12, exgt=245, dxs=25
25 - txs=12, exgt=295, dxs=24
