

generation: 3	dx: 

1 - txs=13, exgt=324, dxs=47
2 - txs=13, exgt=325, dxs=47
3 - txs=12, exgt=232, dxs=23
4 - txs=12, exgt=250, dxs=23
5 - txs=12, exgt=246, dxs=21
6 - txs=12, exgt=228, dxs=21
7 - txs=12, exgt=276, dxs=21
8 - txs=12, exgt=282, dxs=21
9 - txs=12, exgt=234, dxs=22
10 - txs=12, exgt=306, dxs=22
11 - txs=12, exgt=282, dxs=22
12 - txs=12, exgt=277, dxs=42
13 - txs=12, exgt=241, dxs=22
14 - txs=12, exgt=234, dxs=22
15 - txs=11, exgt=225, dxs=23
16 - txs=11, exgt=227, dxs=24
17 - txs=11, exgt=221, dxs=21
18 - txs=11, exgt=239, dxs=26
19 - txs=11, exgt=234, dxs=20
20 - txs=11, exgt=257, dxs=23
21 - txs=11, exgt=262, dxs=44
22 - txs=11, exgt=256, dxs=43
23 - txs=11, exgt=245, dxs=47
24 - txs=11, exgt=263, dxs=45
25 - txs=11, exgt=256, dxs=25
