

generation: 2	dx: 

1 - txs=27, exgt=232, dxs=72
2 - txs=27, exgt=229, dxs=72
3 - txs=27, exgt=224, dxs=72
4 - txs=27, exgt=231, dxs=72
5 - txs=27, exgt=225, dxs=72
6 - txs=27, exgt=230, dxs=72
7 - txs=27, exgt=224, dxs=72
8 - txs=27, exgt=221, dxs=72
9 - txs=27, exgt=226, dxs=72
10 - txs=27, exgt=221, dxs=72
11 - txs=27, exgt=224, dxs=72
12 - txs=27, exgt=231, dxs=72
13 - txs=27, exgt=230, dxs=72
14 - txs=27, exgt=225, dxs=72
15 - txs=27, exgt=228, dxs=72
16 - txs=27, exgt=231, dxs=72
17 - txs=27, exgt=226, dxs=72
18 - txs=27, exgt=223, dxs=72
19 - txs=27, exgt=231, dxs=72
20 - txs=27, exgt=223, dxs=72
21 - txs=27, exgt=226, dxs=72
22 - txs=27, exgt=201, dxs=72
23 - txs=27, exgt=201, dxs=72
24 - txs=27, exgt=201, dxs=72
25 - txs=27, exgt=201, dxs=72
