

generation: 1	dx: 

1 - txs=13, exgt=239, dxs=20
2 - txs=13, exgt=234, dxs=20
3 - txs=13, exgt=234, dxs=20
4 - txs=13, exgt=237, dxs=20
5 - txs=13, exgt=239, dxs=20
6 - txs=13, exgt=234, dxs=20
7 - txs=13, exgt=236, dxs=20
8 - txs=13, exgt=233, dxs=20
9 - txs=13, exgt=236, dxs=20
10 - txs=13, exgt=237, dxs=20
11 - txs=13, exgt=234, dxs=20
12 - txs=13, exgt=240, dxs=20
13 - txs=13, exgt=238, dxs=20
14 - txs=13, exgt=238, dxs=20
15 - txs=13, exgt=235, dxs=20
16 - txs=13, exgt=236, dxs=20
17 - txs=13, exgt=236, dxs=20
18 - txs=13, exgt=238, dxs=20
19 - txs=13, exgt=234, dxs=20
20 - txs=13, exgt=240, dxs=20
21 - txs=13, exgt=242, dxs=20
22 - txs=13, exgt=241, dxs=20
23 - txs=13, exgt=236, dxs=20
24 - txs=13, exgt=237, dxs=20
25 - txs=13, exgt=239, dxs=20
