

generation: 0	dx: 

1 - txs=10, exgt=266, dxs=49
2 - txs=10, exgt=249, dxs=49
3 - txs=8, exgt=253, dxs=20
4 - txs=8, exgt=253, dxs=20
5 - txs=8, exgt=253, dxs=20
6 - txs=8, exgt=253, dxs=20
7 - txs=8, exgt=253, dxs=20
8 - txs=8, exgt=253, dxs=20
9 - txs=8, exgt=253, dxs=20
10 - txs=8, exgt=253, dxs=20
11 - txs=8, exgt=253, dxs=20
12 - txs=8, exgt=256, dxs=20
13 - txs=8, exgt=252, dxs=20
14 - txs=8, exgt=259, dxs=20
15 - txs=8, exgt=256, dxs=20
16 - txs=8, exgt=251, dxs=20
17 - txs=8, exgt=246, dxs=20
18 - txs=8, exgt=250, dxs=20
19 - txs=8, exgt=248, dxs=20
20 - txs=8, exgt=249, dxs=20
21 - txs=8, exgt=252, dxs=20
22 - txs=8, exgt=255, dxs=20
23 - txs=8, exgt=253, dxs=20
24 - txs=8, exgt=255, dxs=20
25 - txs=8, exgt=248, dxs=20
