

generation: 3	dx: 

1 - txs=14, exgt=317, dxs=36
2 - txs=14, exgt=338, dxs=26
3 - txs=14, exgt=297, dxs=25
4 - txs=14, exgt=335, dxs=31
5 - txs=14, exgt=320, dxs=27
6 - txs=14, exgt=306, dxs=25
7 - txs=13, exgt=323, dxs=26
8 - txs=13, exgt=314, dxs=29
9 - txs=13, exgt=341, dxs=25
10 - txs=13, exgt=335, dxs=28
11 - txs=13, exgt=317, dxs=25
12 - txs=13, exgt=340, dxs=28
13 - txs=13, exgt=308, dxs=25
14 - txs=13, exgt=278, dxs=27
15 - txs=13, exgt=309, dxs=26
16 - txs=13, exgt=319, dxs=30
17 - txs=13, exgt=350, dxs=31
18 - txs=13, exgt=317, dxs=27
19 - txs=13, exgt=347, dxs=26
20 - txs=13, exgt=322, dxs=28
21 - txs=13, exgt=311, dxs=31
22 - txs=13, exgt=286, dxs=28
23 - txs=13, exgt=354, dxs=32
24 - txs=13, exgt=334, dxs=29
25 - txs=13, exgt=323, dxs=29
