

generation: 5	dx: 

1 - txs=50, exgt=221, dxs=98
2 - txs=50, exgt=219, dxs=98
3 - txs=50, exgt=217, dxs=98
4 - txs=50, exgt=215, dxs=98
5 - txs=50, exgt=219, dxs=98
6 - txs=50, exgt=220, dxs=98
7 - txs=50, exgt=216, dxs=98
8 - txs=50, exgt=219, dxs=98
9 - txs=50, exgt=222, dxs=98
10 - txs=50, exgt=220, dxs=98
11 - txs=50, exgt=214, dxs=98
12 - txs=50, exgt=220, dxs=98
13 - txs=50, exgt=220, dxs=98
14 - txs=50, exgt=218, dxs=98
15 - txs=50, exgt=219, dxs=98
16 - txs=50, exgt=221, dxs=98
17 - txs=50, exgt=213, dxs=98
18 - txs=50, exgt=219, dxs=98
19 - txs=50, exgt=224, dxs=98
20 - txs=50, exgt=215, dxs=98
21 - txs=50, exgt=220, dxs=98
22 - txs=50, exgt=223, dxs=98
23 - txs=50, exgt=217, dxs=98
24 - txs=50, exgt=218, dxs=98
25 - txs=50, exgt=213, dxs=98
